Date,Campaign,Ad Group,Sector,Country,Impressions,Clicks,Cost,Conversions,Conv. value
2024-01-01,ASELSAN_Search,Brand,Defense,Turkey,8556,643,649.99,71,13540.13
2024-01-02,ASELSAN_Search,Brand,Defense,France,24790,2498,1083.71,30,1382.44
2024-01-03,ASELSAN_Search,Brand,Defense,USA,134475,19806,115.01,1628,302977.98
2024-01-04,ASELSAN_Search,Brand,Defense,France,111974,7303,1150.56,1139,235911.79
2024-01-05,ASELSAN_Search,Brand,Defense,Turkey,43853,5799,1085.41,1138,68260.53
2024-01-06,ASELSAN_Search,Brand,Defense,Germany,28793,839,980.82,183,39470.58
2024-01-07,ASELSAN_Search,Brand,Defense,France,71342,791,1837.84,274,14545.53
2024-01-08,ASELSAN_Search,Brand,Defense,UK,22656,2341,768.29,643,105559.35
2024-01-09,ASELSAN_Search,Brand,Defense,Germany,52407,5851,220.41,933,185611.37
2024-01-10,ASELSAN_Search,Brand,Defense,Turkey,63024,1734,981.31,464,77965.46
2024-01-11,ASELSAN_Search,Brand,Defense,Germany,44638,3112,920.41,546,99868.63
2024-01-12,ASELSAN_Search,Brand,Defense,Turkey,46862,4455,1836.36,334,43088.85
2024-01-13,ASELSAN_Search,Brand,Defense,Germany,148001,7276,1727.3,229,17526.7
2024-01-14,ASELSAN_Search,Brand,Defense,Turkey,84694,6652,705.97,864,199113.66
2024-01-15,ASELSAN_Search,Brand,Defense,France,84490,3563,1655.82,810,181483.5
2024-01-16,ASELSAN_Search,Brand,Defense,UK,39452,2249,392.09,762,115296.57
2024-01-17,ASELSAN_Search,Brand,Defense,Germany,114311,13167,936.89,1133,158215.99
2024-01-18,ASELSAN_Search,Brand,Defense,Turkey,14351,529,424.46,40,8128.71
2024-01-19,ASELSAN_Search,Brand,Defense,UK,18653,1656,984.97,479,69000.3
2024-01-20,ASELSAN_Search,Brand,Defense,France,5009,197,1720.19,68,13188.43
2024-01-21,ASELSAN_Search,Brand,Defense,Germany,31242,2484,1115.17,464,11938.81
2024-01-22,ASELSAN_Search,Brand,Defense,Germany,133225,5934,1293.82,435,96077.01
2024-01-23,ASELSAN_Search,Brand,Defense,Germany,135080,20034,537.33,3063,602078.38
2024-01-24,ASELSAN_Search,Brand,Defense,France,141029,98,1517.41,31,910.85
2024-01-25,ASELSAN_Search,Brand,Defense,Germany,82612,4003,191.92,1161,276391.87
2024-01-26,ASELSAN_Search,Brand,Defense,Turkey,129399,2347,2446.06,545,107535.45
2024-01-27,ASELSAN_Search,Brand,Defense,USA,126592,18095,454.56,4322,956447.51
2024-01-28,ASELSAN_Search,Brand,Defense,UK,57521,3375,1796.72,817,203358.33
2024-01-29,ASELSAN_Search,Brand,Defense,Germany,116845,17039,1156.14,2030,153380.51
2024-01-30,ASELSAN_Search,Brand,Defense,Germany,7514,551,1491.68,1,40.97
2024-01-01,ASELSAN_Search,Generic,Defense,Turkey,62015,1184,2268.28,440,43712.42
2024-01-02,ASELSAN_Search,Generic,Defense,France,64391,4642,1689.0,438,64091.5
2024-01-03,ASELSAN_Search,Generic,Defense,France,125907,8042,1972.32,1667,113093.0
2024-01-04,ASELSAN_Search,Generic,Defense,Turkey,114997,11689,1087.77,3825,839064.5
2024-01-05,ASELSAN_Search,Generic,Defense,Turkey,27799,328,1036.42,86,17641.47
2024-01-06,ASELSAN_Search,Generic,Defense,Turkey,67183,3219,516.01,918,51904.65
2024-01-07,ASELSAN_Search,Generic,Defense,USA,75018,7659,662.03,308,38408.96
2024-01-08,ASELSAN_Search,Generic,Defense,France,27666,287,1647.75,69,14704.33
2024-01-09,ASELSAN_Search,Generic,Defense,Turkey,63965,2804,1045.71,985,71996.75
2024-01-10,ASELSAN_Search,Generic,Defense,UK,17370,754,978.48,199,16849.47
2024-01-11,ASELSAN_Search,Generic,Defense,UK,76776,7010,1756.65,2276,395844.3
2024-01-12,ASELSAN_Search,Generic,Defense,UK,42579,1635,776.93,59,9163.62
2024-01-13,ASELSAN_Search,Generic,Defense,France,17979,1364,190.05,488,67412.97
2024-01-14,ASELSAN_Search,Generic,Defense,France,43270,545,2403.91,20,4331.04
2024-01-15,ASELSAN_Search,Generic,Defense,Turkey,19815,2845,2161.46,826,42930.93
2024-01-16,ASELSAN_Search,Generic,Defense,France,66543,9565,1506.57,2536,110179.73
2024-01-17,ASELSAN_Search,Generic,Defense,France,139044,10446,2340.03,1673,293926.6
2024-01-18,ASELSAN_Search,Generic,Defense,Germany,64570,4431,1019.68,1375,234076.81
2024-01-19,ASELSAN_Search,Generic,Defense,UK,84883,12398,2342.55,76,9736.68
2024-01-20,ASELSAN_Search,Generic,Defense,France,28209,680,1367.2,259,21929.55
2024-01-21,ASELSAN_Search,Generic,Defense,Germany,20033,1080,955.34,80,9887.32
2024-01-22,ASELSAN_Search,Generic,Defense,France,81303,10101,2460.44,3305,568938.14
2024-01-23,ASELSAN_Search,Generic,Defense,Turkey,147385,9890,2332.8,424,100173.92
2024-01-24,ASELSAN_Search,Generic,Defense,USA,71328,1971,2229.8,760,113601.24
2024-01-25,ASELSAN_Search,Generic,Defense,Germany,75860,9989,566.04,1404,99416.39
2024-01-26,ASELSAN_Search,Generic,Defense,Germany,134489,16088,665.25,416,19039.14
2024-01-27,ASELSAN_Search,Generic,Defense,UK,74530,802,58.69,66,11111.13
2024-01-28,ASELSAN_Search,Generic,Defense,Germany,44357,6152,1132.5,1751,264758.28
2024-01-29,ASELSAN_Search,Generic,Defense,Turkey,21724,2910,2264.63,1117,36979.77
2024-01-30,ASELSAN_Search,Generic,Defense,Germany,146841,4932,1102.98,85,8020.44
2024-01-01,ASELSAN_Search,Competitor,Defense,Turkey,95797,3521,1721.06,1365,65695.49
2024-01-02,ASELSAN_Search,Competitor,Defense,France,108529,16035,1570.62,1266,295353.82
2024-01-03,ASELSAN_Search,Competitor,Defense,USA,44598,6632,2036.39,1688,51613.86
2024-01-04,ASELSAN_Search,Competitor,Defense,Germany,109928,8211,703.67,3225,589489.99
2024-01-05,ASELSAN_Search,Competitor,Defense,UK,12151,1043,594.96,235,24363.19
2024-01-06,ASELSAN_Search,Competitor,Defense,USA,60438,467,1667.08,102,10083.61
2024-01-07,ASELSAN_Search,Competitor,Defense,Turkey,75170,5833,1621.63,1637,291208.51
2024-01-08,ASELSAN_Search,Competitor,Defense,France,88808,532,332.59,66,4301.73
2024-01-09,ASELSAN_Search,Competitor,Defense,Germany,12028,302,1511.6,44,8312.6
2024-01-10,ASELSAN_Search,Competitor,Defense,Germany,116398,16838,333.33,4723,320066.96
2024-01-11,ASELSAN_Search,Competitor,Defense,Turkey,116309,135,1323.8,51,7453.74
2024-01-12,ASELSAN_Search,Competitor,Defense,USA,97478,7146,221.44,2720,631511.76
2024-01-13,ASELSAN_Search,Competitor,Defense,France,84291,10948,2127.64,2460,342192.31
2024-01-14,ASELSAN_Search,Competitor,Defense,UK,87506,6672,1758.16,2270,121762.24
2024-01-15,ASELSAN_Search,Competitor,Defense,UK,101390,11177,1882.93,1425,232974.47
2024-01-16,ASELSAN_Search,Competitor,Defense,Germany,108450,9057,2092.63,1244,111407.15
2024-01-17,ASELSAN_Search,Competitor,Defense,UK,86475,7698,1132.38,2767,202220.15
2024-01-18,ASELSAN_Search,Competitor,Defense,UK,46483,5477,257.75,2111,368088.98
2024-01-19,ASELSAN_Search,Competitor,Defense,France,89867,1610,2055.14,240,42330.97
2024-01-20,ASELSAN_Search,Competitor,Defense,USA,54200,1287,109.84,250,61596.4
2024-01-21,ASELSAN_Search,Competitor,Defense,France,21091,1945,1065.38,644,99514.71
2024-01-22,ASELSAN_Search,Competitor,Defense,UK,131598,13175,647.76,45,10163.18
2024-01-23,ASELSAN_Search,Competitor,Defense,Turkey,113449,7250,480.92,2850,403390.41
2024-01-24,ASELSAN_Search,Competitor,Defense,Turkey,148120,8245,2297.8,497,63468.84
2024-01-25,ASELSAN_Search,Competitor,Defense,UK,141233,18394,1508.86,6187,1395606.75
2024-01-26,ASELSAN_Search,Competitor,Defense,France,134324,14063,2084.89,4488,562483.57
2024-01-27,ASELSAN_Search,Competitor,Defense,USA,126433,14827,685.02,2025,433287.53
2024-01-28,ASELSAN_Search,Competitor,Defense,Germany,138655,15959,1585.53,2249,278811.53
2024-01-29,ASELSAN_Search,Competitor,Defense,Germany,63471,4531,872.83,1106,47701.75
2024-01-30,ASELSAN_Search,Competitor,Defense,USA,62623,6355,1750.18,876,34559.51
2024-01-01,ASELSAN_Search,Remarketing,Defense,UK,88738,8970,1191.51,255,18242.12
2024-01-02,ASELSAN_Search,Remarketing,Defense,UK,104099,14904,1936.0,5697,167461.55
2024-01-03,ASELSAN_Search,Remarketing,Defense,France,101714,7894,64.45,1440,132750.5
2024-01-04,ASELSAN_Search,Remarketing,Defense,UK,111843,7306,1246.16,1117,137461.48
2024-01-05,ASELSAN_Search,Remarketing,Defense,Turkey,103936,5587,1688.74,1656,311229.98
2024-01-06,ASELSAN_Search,Remarketing,Defense,UK,35456,5177,1358.6,1613,255137.69
2024-01-07,ASELSAN_Search,Remarketing,Defense,Turkey,24006,2712,1100.1,945,62265.13
2024-01-08,ASELSAN_Search,Remarketing,Defense,Germany,101379,5443,568.57,1338,135054.54
2024-01-09,ASELSAN_Search,Remarketing,Defense,UK,74943,6986,668.07,335,43824.38
2024-01-10,ASELSAN_Search,Remarketing,Defense,France,15653,1513,599.34,70,14054.42
2024-01-11,ASELSAN_Search,Remarketing,Defense,Turkey,10134,586,538.43,5,824.0
2024-01-12,ASELSAN_Search,Remarketing,Defense,USA,35088,3959,1690.17,1155,275173.36
2024-01-13,ASELSAN_Search,Remarketing,Defense,UK,69172,6123,461.08,469,93801.49
2024-01-14,ASELSAN_Search,Remarketing,Defense,USA,83536,1851,1467.78,319,49302.81
2024-01-15,ASELSAN_Search,Remarketing,Defense,UK,105980,15505,1801.79,622,98414.1
2024-01-16,ASELSAN_Search,Remarketing,Defense,USA,28712,2550,2133.22,614,126633.69
2024-01-17,ASELSAN_Search,Remarketing,Defense,France,12766,791,1355.23,189,7657.39
2024-01-18,ASELSAN_Search,Remarketing,Defense,Germany,5316,510,2064.71,27,3308.65
2024-01-19,ASELSAN_Search,Remarketing,Defense,Germany,122517,5093,1116.94,1502,213874.31
2024-01-20,ASELSAN_Search,Remarketing,Defense,Germany,143078,15923,1188.94,5988,947941.05
2024-01-21,ASELSAN_Search,Remarketing,Defense,Germany,66355,1499,733.37,461,36819.74
2024-01-22,ASELSAN_Search,Remarketing,Defense,UK,101349,5591,120.31,1331,87731.49
2024-01-23,ASELSAN_Search,Remarketing,Defense,USA,95015,13151,682.96,2290,510834.87
2024-01-24,ASELSAN_Search,Remarketing,Defense,Germany,147697,412,1315.74,48,2124.62
2024-01-25,ASELSAN_Search,Remarketing,Defense,UK,130077,18272,1907.5,5657,747408.21
2024-01-26,ASELSAN_Search,Remarketing,Defense,UK,119486,645,277.98,113,13106.9
2024-01-27,ASELSAN_Search,Remarketing,Defense,USA,82270,10958,1474.81,3876,579583.76
2024-01-28,ASELSAN_Search,Remarketing,Defense,Germany,113543,10919,911.94,3717,319499.18
2024-01-29,ASELSAN_Search,Remarketing,Defense,Germany,62434,2056,1817.15,323,16763.64
2024-01-30,ASELSAN_Search,Remarketing,Defense,France,50535,1649,580.14,495,43170.15
2024-01-01,ROKETSAN_Search,Brand,Defense,France,139530,19635,743.35,823,174756.96
2024-01-02,ROKETSAN_Search,Brand,Defense,Germany,61633,5992,489.63,57,10505.34
2024-01-03,ROKETSAN_Search,Brand,Defense,USA,73909,825,2437.02,283,25676.8
2024-01-04,ROKETSAN_Search,Brand,Defense,USA,130680,3441,2188.16,1175,104547.21
2024-01-05,ROKETSAN_Search,Brand,Defense,UK,117466,11244,501.69,420,34359.21
2024-01-06,ROKETSAN_Search,Brand,Defense,UK,31907,615,1031.73,18,2786.94
2024-01-07,ROKETSAN_Search,Brand,Defense,Turkey,41774,1302,2037.3,311,13735.53
2024-01-08,ROKETSAN_Search,Brand,Defense,USA,33051,4651,1922.89,1241,197478.52
2024-01-09,ROKETSAN_Search,Brand,Defense,France,61162,8641,981.93,1813,166622.78
2024-01-10,ROKETSAN_Search,Brand,Defense,France,114415,10086,1443.14,246,39893.07
2024-01-11,ROKETSAN_Search,Brand,Defense,Turkey,56470,3537,698.38,166,10016.08
2024-01-12,ROKETSAN_Search,Brand,Defense,USA,146701,2539,433.5,418,52819.87
2024-01-13,ROKETSAN_Search,Brand,Defense,France,125184,9623,129.97,1180,217196.77
2024-01-14,ROKETSAN_Search,Brand,Defense,UK,20659,2895,621.89,541,109423.37
2024-01-15,ROKETSAN_Search,Brand,Defense,France,53857,3562,331.2,460,78530.19
2024-01-16,ROKETSAN_Search,Brand,Defense,Germany,39286,664,196.11,157,24944.93
2024-01-17,ROKETSAN_Search,Brand,Defense,France,77657,7275,354.67,2820,263445.86
2024-01-18,ROKETSAN_Search,Brand,Defense,UK,73367,8279,1372.95,1793,77277.25
2024-01-19,ROKETSAN_Search,Brand,Defense,Turkey,115253,10641,1529.1,211,9610.74
2024-01-20,ROKETSAN_Search,Brand,Defense,France,7438,631,1461.81,195,38056.29
2024-01-21,ROKETSAN_Search,Brand,Defense,UK,138043,14570,2294.38,1486,370478.72
2024-01-22,ROKETSAN_Search,Brand,Defense,UK,130902,3069,1201.53,836,83595.31
2024-01-23,ROKETSAN_Search,Brand,Defense,Turkey,44159,2781,1058.53,1014,91106.89
2024-01-24,ROKETSAN_Search,Brand,Defense,UK,146204,1282,1164.32,322,26336.3
2024-01-25,ROKETSAN_Search,Brand,Defense,Turkey,107952,14250,1310.76,9,1556.76
2024-01-26,ROKETSAN_Search,Brand,Defense,France,123104,13621,182.8,4247,451882.31
2024-01-27,ROKETSAN_Search,Brand,Defense,UK,117878,1771,548.72,562,30616.62
2024-01-28,ROKETSAN_Search,Brand,Defense,Germany,116849,15963,347.49,5161,836062.0
2024-01-29,ROKETSAN_Search,Brand,Defense,USA,43517,2625,1399.56,835,38386.68
2024-01-30,ROKETSAN_Search,Brand,Defense,Turkey,122965,3929,1636.89,315,43197.36
2024-01-01,ROKETSAN_Search,Generic,Defense,Germany,135397,9039,1067.95,1976,485216.76
2024-01-02,ROKETSAN_Search,Generic,Defense,USA,121743,18143,404.37,1561,362808.14
2024-01-03,ROKETSAN_Search,Generic,Defense,France,37784,651,726.81,212,21512.05
2024-01-04,ROKETSAN_Search,Generic,Defense,France,72037,122,742.96,19,4055.21
2024-01-05,ROKETSAN_Search,Generic,Defense,France,130356,4949,1144.04,991,101729.01
2024-01-06,ROKETSAN_Search,Generic,Defense,France,144456,12440,1165.59,2636,581660.76
2024-01-07,ROKETSAN_Search,Generic,Defense,USA,102393,3906,2147.23,841,29284.16
2024-01-08,ROKETSAN_Search,Generic,Defense,UK,101937,6405,2471.61,623,85007.69
2024-01-09,ROKETSAN_Search,Generic,Defense,Turkey,35094,4194,2415.12,679,149843.47
2024-01-10,ROKETSAN_Search,Generic,Defense,UK,28138,3823,87.6,295,34587.33
2024-01-11,ROKETSAN_Search,Generic,Defense,USA,21615,2003,1964.74,271,27418.77
2024-01-12,ROKETSAN_Search,Generic,Defense,UK,23054,1425,2138.24,546,60334.15
2024-01-13,ROKETSAN_Search,Generic,Defense,Germany,129912,17808,137.95,560,43581.05
2024-01-14,ROKETSAN_Search,Generic,Defense,Germany,61634,1560,1113.23,100,19608.32
2024-01-15,ROKETSAN_Search,Generic,Defense,Turkey,118307,5531,1750.3,118,4171.06
2024-01-16,ROKETSAN_Search,Generic,Defense,Turkey,78904,5953,968.36,596,47646.88
2024-01-17,ROKETSAN_Search,Generic,Defense,UK,49200,1472,478.92,391,64294.02
2024-01-18,ROKETSAN_Search,Generic,Defense,USA,132460,19188,400.64,3777,636532.3
2024-01-19,ROKETSAN_Search,Generic,Defense,UK,68932,233,2252.33,59,13438.56
2024-01-20,ROKETSAN_Search,Generic,Defense,France,43412,685,1132.24,176,43511.01
2024-01-21,ROKETSAN_Search,Generic,Defense,Germany,113230,8275,1169.25,1237,86372.07
2024-01-22,ROKETSAN_Search,Generic,Defense,UK,128670,3574,631.15,1171,123851.76
2024-01-23,ROKETSAN_Search,Generic,Defense,Germany,79392,439,2445.96,168,19161.46
2024-01-24,ROKETSAN_Search,Generic,Defense,Turkey,14856,2114,2090.46,293,58465.72
2024-01-25,ROKETSAN_Search,Generic,Defense,USA,94358,3668,1609.71,1271,103448.0
2024-01-26,ROKETSAN_Search,Generic,Defense,USA,27470,3780,1587.27,80,7560.79
2024-01-27,ROKETSAN_Search,Generic,Defense,UK,10746,1266,943.91,67,3033.76
2024-01-28,ROKETSAN_Search,Generic,Defense,Germany,87647,12326,1067.98,1644,89985.91
2024-01-29,ROKETSAN_Search,Generic,Defense,France,97907,8777,1279.4,1116,236431.67
2024-01-30,ROKETSAN_Search,Generic,Defense,Germany,128313,9751,1879.07,1387,285655.87
2024-01-01,ROKETSAN_Search,Competitor,Defense,UK,21739,656,1897.67,115,25131.14
2024-01-02,ROKETSAN_Search,Competitor,Defense,UK,148096,12065,271.24,3232,90921.65
2024-01-03,ROKETSAN_Search,Competitor,Defense,France,34398,3805,953.03,1376,115565.17
2024-01-04,ROKETSAN_Search,Competitor,Defense,UK,99379,1855,1703.35,482,14763.92
2024-01-05,ROKETSAN_Search,Competitor,Defense,France,87984,10075,592.35,258,43335.2
2024-01-06,ROKETSAN_Search,Competitor,Defense,UK,81217,10717,1050.32,1145,40307.47
2024-01-07,ROKETSAN_Search,Competitor,Defense,Turkey,81787,8151,334.5,961,215872.64
2024-01-08,ROKETSAN_Search,Competitor,Defense,USA,103881,7512,958.98,2852,678331.57
2024-01-09,ROKETSAN_Search,Competitor,Defense,UK,42507,3478,1654.56,1002,163848.79
2024-01-10,ROKETSAN_Search,Competitor,Defense,Germany,10576,1493,957.8,454,56775.68
