Campaign,Impressions,Clicks,Cost,Conversions,Conv. value
Brand_Search,42905,962,39.51,140,5699.91
Brand_Search,10144,804,99.95,189,20540.3
Brand_Search,6697,654,349.1,7,173.87
Brand_Search,16247,1084,489.57,287,10296.97
Brand_Search,43590,3486,191.94,569,56894.42
Brand_Search,1425,70,564.55,10,441.76
Brand_Search,15110,739,99.72,97,2440.06
Brand_Search,23541,1133,649.56,235,16756.43
Brand_Search,25807,372,450.59,106,8586.76
Brand_Search,24700,2414,169.99,71,1406.62
Brand_Search,15935,642,788.47,59,6252.87
Brand_Search,25911,1188,373.66,186,5966.63
Brand_Search,24283,908,542.74,36,2842.52
Brand_Search,12215,1143,588.72,83,5273.6
Brand_Search,18691,1360,556.77,112,9731.06
Brand_Search,4665,167,661.01,20,1142.45
Brand_Search,5337,158,732.25,36,3852.67
Brand_Search,21622,920,531.24,202,21794.13
Brand_Search,43129,3808,131.44,285,11655.33
Brand_Search,37789,2257,224.94,598,35871.36
Generic_Search,39242,1685,302.36,70,4795.02
Generic_Search,6957,98,691.66,4,323.53
Generic_Search,45596,3508,485.2,788,43395.18
Generic_Search,31674,2217,216.1,566,59646.14
Generic_Search,1752,137,582.16,34,3190.63
Generic_Search,43006,2836,107.01,445,14064.92
Generic_Search,1212,83,778.07,24,810.2
Generic_Search,7973,690,252.79,163,11133.65
Generic_Search,14035,363,311.65,20,1432.7
Generic_Search,35757,52,487.18,15,255.68
Generic_Search,24788,1309,206.77,123,13184.49
Generic_Search,6161,137,590.89,4,470.75
Generic_Search,35911,3186,118.09,675,43810.64
Generic_Search,37031,726,226.74,155,9211.57
Generic_Search,14880,1154,609.11,102,9165.68
Generic_Search,27148,2711,311.27,529,33012.8
Generic_Search,17246,510,69.94,5,383.86
Generic_Search,16080,1255,191.77,36,3215.64
Generic_Search,4858,167,72.57,2,210.52
Generic_Search,5643,293,237.21,62,2324.68
Display_Remarketing,9671,790,749.7,146,11023.32
Display_Remarketing,16925,1656,388.92,208,7278.55
Display_Remarketing,7352,724,356.22,108,6281.9
Display_Remarketing,48780,493,545.22,25,534.11
Display_Remarketing,48724,2829,644.46,111,4563.09
Display_Remarketing,13465,1148,369.92,216,7401.51
Display_Remarketing,31318,1073,702.1,38,2338.09
Display_Remarketing,37066,451,59.46,3,350.23
Display_Remarketing,16491,390,337.0,61,2284.05
Display_Remarketing,27282,290,148.42,0,0.0
Display_Remarketing,18380,1655,632.4,146,8674.7
Display_Remarketing,48874,4602,536.26,996,31128.65
Display_Remarketing,20445,495,775.59,148,13653.36
Display_Remarketing,4994,432,264.61,12,916.06
Display_Remarketing,33954,2225,142.8,520,12174.09
Display_Remarketing,13178,190,484.13,43,4536.11
Display_Remarketing,27461,541,754.44,145,5923.63
Display_Remarketing,39962,212,503.12,53,4453.28
Display_Remarketing,38042,2191,266.77,267,9731.41
Display_Remarketing,47936,2623,206.18,405,11640.6
YouTube_Video,43303,2507,376.64,74,1182.38
YouTube_Video,41708,869,77.14,109,7424.85
YouTube_Video,9680,407,707.07,112,4552.78
YouTube_Video,19676,373,361.78,69,6132.15
YouTube_Video,41086,4079,790.04,1083,17134.6
YouTube_Video,37346,1276,746.77,53,6020.15
YouTube_Video,9800,320,110.03,13,1208.4
YouTube_Video,11187,607,239.77,53,4788.51
YouTube_Video,14342,1348,685.27,258,17104.33
YouTube_Video,4329,97,514.74,26,1145.34
YouTube_Video,1232,92,621.47,20,2357.58
YouTube_Video,11589,954,450.31,218,16109.16
YouTube_Video,8331,127,757.14,9,650.58
YouTube_Video,25196,2435,450.97,440,12487.98
YouTube_Video,21202,1543,721.21,407,47651.81
YouTube_Video,3614,233,183.86,31,2635.87
YouTube_Video,24178,2343,709.63,416,48777.2
YouTube_Video,11128,534,694.39,45,4839.69
YouTube_Video,2624,95,594.52,10,971.51
YouTube_Video,27982,2793,693.97,830,34077.78
Performance_Max,11433,271,318.38,4,420.61
Performance_Max,15577,458,656.94,117,6050.55
Performance_Max,15915,506,38.46,49,2785.11
Performance_Max,19258,1820,74.15,285,14783.05
Performance_Max,34384,1687,550.02,431,30731.44
Performance_Max,2808,79,704.09,8,270.0
Performance_Max,18397,128,104.55,27,1385.02
Performance_Max,21557,1837,492.84,523,14195.69
Performance_Max,38787,828,218.68,181,11002.27
Performance_Max,35073,3353,439.99,736,83703.53
Performance_Max,49302,1664,304.09,35,4012.11
Performance_Max,22639,1335,537.44,63,5706.17
Performance_Max,20681,1088,261.24,209,10293.08
Performance_Max,46692,2472,452.44,196,11592.79
Performance_Max,25847,762,500.1,77,4438.12
Performance_Max,1026,69,243.79,13,1267.56
Performance_Max,40758,2731,271.35,452,27764.9
Performance_Max,15005,1096,389.09,86,7239.42
Performance_Max,19598,1105,537.81,317,15911.74
Performance_Max,16392,1427,262.13,412,14794.36
